,Rank,Plays,Won,Lost,Draw,scoreDiff,Points,Season
Dabang Delhi K.C.,1,18,14,2,2,72,77,season 7
Bengal Warriors,2,19,12,4,3,86,73,season 7
Haryana Steelers,3,17,11,5,1,30,59,season 7
U Mumba,4,17,9,7,1,35,53,season 7
Bengaluru Bulls,5,18,9,8,1,10,53,season 7
U.P. Yoddha,6,17,9,6,2,-26,53,season 7
Jaipur Pink Panthers,7,19,8,9,2,2,52,season 7
Puneri Paltan,8,19,6,10,3,-51,42,season 7
Patna Pirates,9,19,6,12,1,-1,40,season 7
Gujarat Fortunegiants,10,18,5,11,2,-14,39,season 7
Telugu Titans,11,17,4,10,3,-59,34,season 7
Tamil Thalaivas,12,18,3,12,3,-84,30,season 7
Gujarat Fortunegiants,1,22,17,3,2,117,93,season 6
U Mumba,2,22,15,5,2,189,86,season 6
Dabang Delhi K.C.,3,22,11,9,2,-1,68,season 6
Puneri Paltan,4,22,8,12,2,-45,52,season 6
Jaipur Pink Panthers,5,22,6,13,3,-69,43,season 6
Haryana Steelers,6,22,6,14,2,-91,42,season 6
Bengaluru Bulls,1,22,13,7,2,104,78,season 6
Bengal Warriors,2,22,12,8,2,2,69,season 6
U.P. Yoddha,3,22,8,10,4,-45,57,season 6
Patna Pirates,4,22,9,11,2,-36,55,season 6
Telugu Titans,5,22,8,13,1,-55,51,season 6
Tamil Thalaivas,6,22,5,13,4,-70,42,season 6
Gujarat Fortunegiants,1,22,15,4,3,126,87,season 5
Puneri Paltan,2,22,15,7,0,91,80,season 5
Haryana Steelers,3,22,13,5,4,40,79,season 5
U Mumba,4,22,10,12,0,-50,56,season 5
Jaipur Pink Panthers,5,22,8,13,1,-91,51,season 5
Dabang Delhi K.C.,6,22,5,16,1,-134,38,season 5
Bengal Warriors,1,22,11,5,6,19,77,season 5
Patna Pirates,2,22,10,7,5,60,71,season 5
U.P. Yoddha,3,22,8,10,4,2,60,season 5
Bengaluru Bulls,4,22,8,11,3,10,57,season 5
Telugu Titans,5,22,7,12,3,-2,52,season 5
Tamil Thalaivas,6,22,6,14,2,-71,46,season 5
Patna Pirates,1,14,10,4,0,14,52,season 4
Telugu Titans,2,14,8,4,2,67,50,season 4
Jaipur Pink Panthers,3,14,8,5,1,22,47,season 4
Puneri Paltan,4,14,6,6,2,23,42,season 4
U Mumba,5,14,7,6,1,-18,42,season 4
Bengaluru Bulls,6,14,5,8,1,-55,32,season 4
Dabang Delhi K.C.,7,14,4,9,1,7,29,season 4
Bengal Warriors,8,14,3,9,2,-60,26,season 4
U Mumba,1,14,12,2,0,95,60,season 3
Patna Pirates,2,14,10,2,2,104,58,season 3
Puneri Paltan,3,14,7,4,3,92,48,season 3
Bengal Warriors,4,14,9,5,0,26,47,season 3
Telugu Titans,5,14,7,7,0,-10,38,season 3
Jaipur Pink Panthers,6,14,4,8,2,-63,28,season 3
Bengaluru Bulls,7,14,2,12,0,-102,14,season 3
Dabang Delhi K.C.,8,14,1,12,1,-142,11,season 3
U Mumba,1,14,12,2,0,40,60,season 2
Telugu Titans,2,14,8,3,3,85,50,season 2
Bengaluru Bulls,3,14,9,5,0,55,48,season 2
Patna Pirates,4,14,7,6,1,-18,41,season 2
Jaipur Pink Panthers,5,14,6,7,1,43,38,season 2
Bengal Warriors,6,14,4,9,1,-63,27,season 2
Dabang Delhi K.C.,7,14,4,9,1,-68,27,season 2
Puneri Paltan,8,14,2,11,1,-74,21,season 2
Jaipur Pink Panthers,1,14,10,3,1,0,54,season 1
U Mumba,2,14,8,3,3,0,51,season 1
Bengaluru Bulls,3,14,8,5,1,0,47,season 1
Patna Pirates,4,14,7,5,2,0,45,season 1
Telugu Titans,5,14,6,5,3,0,42,season 1
Dabang Delhi K.C.,6,14,5,8,1,0,32,season 1
Bengal Warriors,7,14,4,9,1,0,24,season 1
Puneri Paltan,8,14,2,12,0,0,17,season 1
